Classes_1,CIV,IDNodo,COL,CK_DNH_Cs,TARGET_FID,Estado20_1,TIPO_CLA_1,NOMBRE_EJE,ELEM,IDEstacion,IDW_Cs,ESTACION,LON_1,ROW,CK_DH_Cs,Input_FID_,OBJECTID,FID_Grilla,NOMBRE_EXT,Classes,Shape_Leng,NOMBRE_E_1,OBJECTID_4,CLASIFI_SU,Largo_Via,OBJECTID_2,ORIG_FID,Classes_12,FID_LINK,CODIGO_LOC,LAT_1,hora,AT,BA,NH_AT,NH_BA,PPH,PPNH,FEHPM10,FEHPM25,FENHPM10,FENHPM25,FAH,FANH,EHPM10,EHPM25,ENHPM10,ENHPM25
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,0,2,0,2.166666667,0,30.0,30.0,10.677,4.535,10.677,4.535,0.097,0.105,1.032,0.438,1.119,0.475
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,1,0.133333333,0,0,0,40.0,0.0,13.635,6.081,0.0,0.0,0.005,0.0,0.066,0.029,0.0,0.0
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,2,0.2,0,0.166666667,0,30.0,30.0,10.677,4.535,10.677,4.535,0.01,0.008,0.103,0.044,0.088,0.037
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,3,0.266666667,0,0.166666667,0,26.67,30.0,9.661,4.022,10.677,4.535,0.014,0.008,0.14,0.058,0.088,0.037
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,4,8.733333333,0.733333333,5.5,0,30.82,30.0,10.925,4.661,10.677,4.535,0.459,0.266,5.014,2.139,2.837,1.205
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,5,30.2,6.133333333,18.5,2.166666667,32.06,31.26,11.297,4.853,11.057,4.729,1.754,0.999,19.812,8.51,11.042,4.722
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,6,64.66666667,11.73333333,41.16666667,3.333333333,31.84,30.9,11.231,4.819,10.949,4.674,3.691,2.15,41.454,17.786,23.538,10.048
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,7,95.26666667,15.66666667,72.33333333,4.333333333,31.7,30.68,11.189,4.797,10.883,4.64,5.358,3.703,59.949,25.701,40.304,17.183
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,8,93.06666667,15.2,75.66666667,3.833333333,31.67,30.58,11.18,4.793,10.853,4.624,5.232,3.841,58.496,25.074,41.681,17.761
4.0,1006255.0,3493.0,40.0,0.935885,565.0,REGULAR,1.0,AK 45,24092961.0,1.0,0.935885,AK_45_X_AC_170,-74.044975,44.0,0.56967,2856.0,5822.0,2849.0,CL 163A,4.0,48.310231243,CL 163B,7469.0,Troncal,48.3102,566.0,638.0,3.0,640.0,11,4.746536,9,77.66666667,12.26666667,62.33333333,4.333333333,31.65,30.78,11.174,4.789,10.913,4.655,4.343,3.22,48.532,20.801,35.143,14.991
