Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
KR_13_AC_63,HABIL,17,26983,0,0,0,0,0.833333333,0,5.666666667,3.166666667,0.833333333,0.166666667,1.333333333,0,1.666666667,1.5,234.3333333,18.33333333,267.8333333
KR_13_AC_63,HABIL,17,26983,1,0,0,0,0,0,0.333333333,0.166666667,0.833333333,0.166666667,0.833333333,0,0.666666667,1,156.5,11.66666667,172.1666667
KR_13_AC_63,HABIL,17,26983,2,0,0,0,0,0,0,0,1.166666667,0.833333333,1.666666667,0,0.5,0.166666667,119.5,9.666666667,133.5
KR_13_AC_63,HABIL,17,26983,3,0,0,0,0,0,0.166666667,0.833333333,1,0.5,0.666666667,0,1.666666667,0,98,9.5,112.3333333
KR_13_AC_63,HABIL,17,26983,4,0.166666667,0,0,5.666666667,0,12.5,4.166666667,2.833333333,0.666666667,0.666666667,0,2,0,98.16666667,20.66666667,147.5
KR_13_AC_63,HABIL,17,26983,5,0,0,0,34.66666667,0,39.83333333,23.16666667,6,2.833333333,1.5,0,18,0.166666667,334.1666667,103.3333333,563.6666667
KR_13_AC_63,HABIL,17,26983,6,0,0,0,58.5,0,64.5,68.16666667,15,7.666666667,1.166666667,0,54.83333333,0,728,260,1257.833333
KR_13_AC_63,HABIL,17,26983,7,0,0,0,65.83333333,0,60,79.5,10.5,9.833333333,0.166666667,0,25.66666667,0,1002,363.1666667,1616.666667
KR_13_AC_63,HABIL,17,26983,8,0,0,0,70.83333333,0,76.33333333,76.33333333,17,14,1.166666667,0,12.83333333,0.166666667,976.8333333,307.6666667,1553.166667
KR_13_AC_63,HABIL,17,26983,9,0,0,0,72,0,73.66666667,80.5,22.33333333,15.83333333,1.833333333,0,8.5,0.333333333,973.6666667,243.5,1492.166667
KR_13_AC_63,HABIL,17,26983,10,0,0,0,63.83333333,0,63,71.83333333,18,14.83333333,1.5,0,6.833333333,0.166666667,955.3333333,249.6666667,1445
KR_13_AC_63,HABIL,17,26983,11,0,0,0,65.5,0,55.83333333,64.33333333,20.66666667,12.66666667,0.833333333,0.166666667,4.333333333,0,910,234.3333333,1368.666667
KR_13_AC_63,HABIL,17,26983,12,0,0,0,58.33333333,0,63,71.5,20.5,10,1.5,0,7.166666667,0,874.3333333,214.8333333,1321.166667
KR_13_AC_63,HABIL,17,26983,13,0,0,0,59.83333333,0,62.5,72.33333333,16.66666667,9.5,1.333333333,0,9.5,0,847.6666667,205.5,1284.833333
KR_13_AC_63,HABIL,17,26983,14,0,0,0,53,0,55.16666667,67.66666667,14.33333333,12.83333333,1.166666667,0,22,0.333333333,849,220.6666667,1296.166667
KR_13_AC_63,HABIL,17,26983,15,0,0,0,60,0,62.16666667,70.66666667,13.66666667,9.166666667,1.333333333,0,15,0,838.5,208.8333333,1279.333333
KR_13_AC_63,HABIL,17,26983,16,0,0,0,66.33333333,0,60,75.5,11.66666667,9,0.833333333,0,16.66666667,0.166666667,838,224,1302.166667
KR_13_AC_63,HABIL,17,26983,17,0,0,0,92.83333333,0,61.5,76.33333333,12.83333333,9.333333333,0.833333333,0,12.83333333,0,845.5,263,1375
KR_13_AC_63,HABIL,17,26983,18,0,0,0,87.33333333,0,64,65.83333333,8.166666667,5.666666667,1.333333333,0,7,0,760.1666667,223.3333333,1222.833333
KR_13_AC_63,HABIL,17,26983,19,0,0,0,96.33333333,0,68,70.83333333,6.833333333,3.333333333,0.333333333,0,4.666666667,0.166666667,712.5,145.3333333,1108.333333
KR_13_AC_63,HABIL,17,26983,20,0,0,0,48.16666667,0,56.66666667,55,4.833333333,3,0,0,3.666666667,0.166666667,629.8333333,126.5,927.8333333
KR_13_AC_63,HABIL,17,26983,21,0,0,0,37,0,47.66666667,44.33333333,3.666666667,2.5,1.166666667,0,3.5,0.166666667,506.8333333,112.5,759.3333333
KR_13_AC_63,HABIL,17,26983,22,0,0,0,24.83333333,0,49,26.5,2.5,1.166666667,0.166666667,0,1.666666667,1,434.1666667,83.66666667,624.6666667
KR_13_AC_63,HABIL,17,26983,23,0,0,0,10.5,0,29.66666667,11,2.166666667,0.5,0.833333333,0,2.333333333,2,340.6666667,36.66666667,436.3333333
AK_86_AC_80,HABIL,5,15798,0,1.305555556,1.888888889,1.25,2.277777778,0.111111111,8.722222222,2.666666667,9.555555556,2.472222222,2.583333333,1.333333333,9.75,0.444444444,208.3611111,40.33333333,293.0555556
AK_86_AC_80,HABIL,5,15798,1,1.222222222,0.111111111,0.083333333,1.083333333,0,3.111111111,0.555555556,9.055555556,3.722222222,2.194444444,0.583333333,8.805555556,0.222222222,133.2222222,20.63888889,184.6111111
AK_86_AC_80,HABIL,5,15798,2,1.055555556,0,0.111111111,0.388888889,0.055555556,1.5,0.722222222,10.72222222,5.055555556,2.25,0.888888889,7.222222222,0.111111111,108.6111111,15.86111111,154.5555556
AK_86_AC_80,HABIL,5,15798,3,3.277777778,0.055555556,0.777777778,3.388888889,0.194444444,3.611111111,4.333333333,16.19444444,9.583333333,3.555555556,1.972222222,8.777777778,1.055555556,149.1388889,22.75,228.6666667
AK_86_AC_80,HABIL,5,15798,4,4.833333333,2.555555556,6.166666667,19.72222222,0.361111111,9.25,17.02777778,31.41666667,11.22222222,7.611111111,3.388888889,46.69444444,3.583333333,291.1666667,55.61111111,510.6111111
AK_86_AC_80,HABIL,5,15798,5,5.083333333,3.5,21.05555556,27.77777778,5.75,12.72222222,21.36111111,55.61111111,22.44444444,12.02777778,3.694444444,150.8611111,6.5,919.8888889,249.0555556,1517.333333
AK_86_AC_80,HABIL,5,15798,6,2.138888889,3.305555556,36.19444444,30.38888889,10.25,12.19444444,23.41666667,44.33333333,25.22222222,9,1.388888889,130.0555556,7.5,1078.222222,754.7777778,2168.388889
AK_86_AC_80,HABIL,5,15798,7,0.305555556,3.388888889,37.02777778,33,9.972222222,12.19444444,20.63888889,48.25,32.61111111,3.5,0.222222222,81.69444444,4.861111111,995.1111111,922.4444444,2205.222222
AK_86_AC_80,HABIL,5,15798,8,1.083333333,3.444444444,41.11111111,33.05555556,10.61111111,14,20.27777778,59.08333333,35.94444444,10.44444444,0.472222222,56.33333333,5.5,1048.527778,584.2222222,1924.111111
AK_86_AC_80,HABIL,5,15798,9,0.222222222,2.833333333,34.25,36.36111111,8.111111111,13.05555556,19.22222222,64.13888889,44.80555556,6.083333333,0.444444444,42.36111111,3.944444444,1223.888889,434.8611111,1934.583333
